,Архангельск,Астрахань,Брянск,Владимир,Волгоград,Екатеринбург,Ижевск,Иркутск,Йошкар-Ола,Казань,Калининград,Краснодар,Москва
Архангельск, ,2630,1632,1191,2207,1963,1528,5401,1270,1420,2061,2582,1236
Астрахань,2630, ,1467,1443,424,2214,1794,5508,1552,1463,2655,822,1392
Брянск,1632,1467, ,575,1045,2190,1593,5495,1141,1202,1096,1302,384
Владимир,1191,1443,575, ,1020,1622,1016,5009,565,625,1473,1494,196
Волгоград,2207,424,1045,1020, ,1790,1370,5084,1128,1039,2233,744,970
Екатеринбург,1963,2214,2190,1622,1790, ,635,3439,1012,1068,3081,2527,1797
Ижевск,1528,1794,1593,1016,1370,635, ,4071,537,386,2476,2107,1200
Иркутск,5401,5508,5495,5009,5084,3439,4071, ,4562,4412,6357,5853,5225
Йошкар-Ола,1270,1552,1141,565,1128,1012,537,4562, ,147,2026,1866,749
Казань,1420,1463,1202,625,1039,1068,386,4412,147, ,2087,1778,810
Калининград,2061,2655,1096,1473,2233,3081,2476,6357,2026,2087, ,2306,1284
Краснодар,2582,822,1302,1494,744,2527,2107,5853,1866,1778,2306, ,1342
Москва,1236,1392,384,196,970,1797,1200,5225,749,810,1284,1342, 